time,level,nb_children
1623836212.585881,INFO,1
1623836213.890702,INFO,2
1623836403.539642,INFO,3
1623836463.372036,INFO,4
1623836483.279874,INFO,3
1623836533.872908,INFO,2
1623836564.828094,INFO,3
1623836676.381035,INFO,4
1623836813.37243,INFO,0
1623836892.678681,INFO,1
1623836900.559064,INFO,2
1623837007.014996,INFO,0
1623837007.395377,INFO,1
1623837009.471904,INFO,0
1623837071.778966,INFO,1
1623837232.698622,INFO,0
1623837472.03491,INFO,1
1623837657.526115,INFO,0
1623838060.92196,INFO,1
1623838156.807921,INFO,4
1623838162.93652,INFO,0
1623838163.754363,INFO,1
1623838270.211861,INFO,0
1623838506.567829,INFO,1
1623838562.033697,INFO,0
1623838573.69539,INFO,1
1623838584.728908,INFO,0
1623838622.186407,INFO,1
1623838678.589361,INFO,0
1623838822.922447,INFO,1
1623839327.186846,INFO,0
1623839485.614803,INFO,1
1623839553.743558,INFO,0
1623839716.748605,INFO,1
1623839804.73704,INFO,0
1623839899.617845,INFO,1
1623840138.060054,INFO,1
1623840265.796576,INFO,3
1623840273.428924,INFO,1
1623841058.869749,INFO,0
1623841292.22917,INFO,1
1623841299.395627,INFO,2
1623841370.653372,INFO,3
1623841396.713508,INFO,2
1623841493.652653,INFO,0
1623841664.493776,INFO,1
1623841673.022898,INFO,0
1623842296.527424,INFO,1
1623842407.534426,INFO,0
1623846655.873345,INFO,1
1623846789.895633,INFO,0
1623846985.046739,INFO,1
1623847000.346628,INFO,0
1623847022.172615,INFO,1
1623847134.085522,INFO,0
1623847173.611774,INFO,1
1623847326.604619,INFO,0
1623847370.541185,INFO,2
1623847378.231936,INFO,0
1623848005.02656,INFO,1
1623848241.03579,INFO,0
1623848249.689318,INFO,1
1623848340.689921,INFO,2
1623848354.941191,INFO,1
1623848373.996285,INFO,0
1623848453.684913,INFO,1
1623848486.200337,INFO,3
1623848486.201452,INFO,1
1623848495.846022,INFO,0
1623848560.910427,INFO,1
1623848567.219213,INFO,2
1623848571.357801,INFO,1
1623848685.248922,INFO,0
1623848837.444286,INFO,1
1623848857.511437,INFO,0
1623848864.823361,INFO,1
1623848967.612883,INFO,3
1623849041.376781,INFO,1
1623849042.872151,INFO,3
1623849305.513795,INFO,1
1623849312.101254,INFO,3
1623849402.471163,INFO,2
1623849476.9224,INFO,1
1623849883.708861,INFO,1
1623850225.927,INFO,0
1623850298.104548,INFO,1
1623850337.383008,INFO,0
1623850348.019194,INFO,1
1623850363.780049,INFO,0
1623850381.421489,INFO,1
1623850381.423194,INFO,2
1623850402.680519,INFO,3
1623850451.062234,INFO,1
1623850459.204423,INFO,0
1623850894.430058,INFO,1
1623850948.909691,INFO,2
1623850982.340789,INFO,0
1623851134.309955,INFO,1
1623851160.559272,INFO,0
1623851414.962434,INFO,1
1623851423.638237,INFO,2
1623851430.157482,INFO,1
1623851468.979813,INFO,0
1623851605.579305,INFO,1
1623851615.265435,INFO,0
1623851651.60063,INFO,1
1623851651.601829,INFO,0
